mouse_gene,human_ortholog,conservation_type,confidence,human_stroke_relevance
Spp1,SPP1,Inferred (capitalize),Medium,To be validated
Cdkn1a,CDKN1A,Inferred (capitalize),Medium,To be validated
Cd24a,CD24A,Inferred (capitalize),Medium,To be validated
Cd72,CD72,Inferred (capitalize),Medium,To be validated
Fth1,FTH1,Inferred (capitalize),Medium,To be validated
Lpl,LPL,Inferred (capitalize),Medium,To be validated
H2-Eb1,H2-EB1,Inferred (capitalize),Medium,To be validated
Ifitm6,IFITM6,Inferred (capitalize),Medium,To be validated
H2-Aa,H2-AA,Inferred (capitalize),Medium,To be validated
Tubb6,TUBB6,Inferred (capitalize),Medium,To be validated
Il1rn,IL1RN,Inferred (capitalize),Medium,To be validated
Napsa,NAPSA,Inferred (capitalize),Medium,To be validated
Sirpb1c,SIRPB1C,Inferred (capitalize),Medium,To be validated
Adam8,ADAM8,Inferred (capitalize),Medium,To be validated
Plac8,PLAC8,Inferred (capitalize),Medium,To be validated
Ch25h,CH25H,Inferred (capitalize),Medium,To be validated
Anxa1,ANXA1,Inferred (capitalize),Medium,To be validated
Sepp1,SEPP1,Inferred (capitalize),Medium,To be validated
Dbp,DBP,Inferred (capitalize),Medium,To be validated
Emp1,EMP1,Inferred (capitalize),Medium,To be validated
Plat,PLAT,Inferred (capitalize),Medium,"Tissue plasminogen activator, stroke therapeutic target"
Ccr2,CCR2,Inferred (capitalize),Medium,To be validated
Tgtp2,TGTP2,Inferred (capitalize),Medium,To be validated
Serpina3n,SERPINA3N,Inferred (capitalize),Medium,To be validated
Lcn2,LCN2,Inferred (capitalize),Medium,"Inflammatory marker, correlates with stroke severity"
Mnda,MNDA,Inferred (capitalize),Medium,To be validated
H2-Ab1,H2-AB1,Inferred (capitalize),Medium,To be validated
Ednrb,EDNRB,Inferred (capitalize),Medium,To be validated
Hmgcs2,HMGCS2,Inferred (capitalize),Medium,To be validated
Adm,ADM,Inferred (capitalize),Medium,"Vascular response, protective in cerebral ischemia"
Iigp1,IIGP1,Inferred (capitalize),Medium,To be validated
Stmn2,STMN2,Inferred (capitalize),Medium,To be validated
Actb,ACTB,Inferred (capitalize),Medium,"Cytoskeletal stress response, conserved across species"
Fbln5,FBLN5,Inferred (capitalize),Medium,To be validated
8430408G22Rik,8430408G22RIK,Inferred (capitalize),Medium,To be validated
Cd74,CD74,Inferred (capitalize),Medium,To be validated
Igtp,IGTP,Inferred (capitalize),Medium,To be validated
Ifitm1,IFITM1,Inferred (capitalize),Medium,To be validated
Igfbp6,IGFBP6,Inferred (capitalize),Medium,To be validated
Lrg1,LRG1,Inferred (capitalize),Medium,To be validated
Gm2564,GM2564,Inferred (capitalize),Medium,To be validated
Angpt2,ANGPT2,Inferred (capitalize),Medium,To be validated
Ackr1,ACKR1,Inferred (capitalize),Medium,To be validated
Gm4955,GM4955,Inferred (capitalize),Medium,To be validated
Pyhin1,PYHIN1,Inferred (capitalize),Medium,To be validated
Ifit3,IFIT3,Inferred (capitalize),Medium,To be validated
Gfap,GFAP,Inferred (capitalize),Medium,"Astrocyte activation marker, elevated in human stroke"
Ifi47,IFI47,Inferred (capitalize),Medium,To be validated
Gbp2,GBP2,Inferred (capitalize),Medium,To be validated
Mgp,MGP,Inferred (capitalize),Medium,To be validated
Tgtp1,TGTP1,Inferred (capitalize),Medium,To be validated
AA467197,AA467197,Inferred (capitalize),Medium,To be validated
Igfbp3,IGFBP3,Inferred (capitalize),Medium,To be validated
Kcnj8,KCNJ8,Inferred (capitalize),Medium,To be validated
Gbp4,GBP4,Inferred (capitalize),Medium,To be validated
Slc7a11,SLC7A11,Inferred (capitalize),Medium,To be validated
Timp1,TIMP1,Inferred (capitalize),Medium,To be validated
Ccl19,CCL19,Inferred (capitalize),Medium,"Chemokine signaling, involved in post-stroke inflammation"
Ifi205,IFI205,Inferred (capitalize),Medium,To be validated
Cxcl12,CXCL12,Inferred (capitalize),Medium,To be validated
Cfh,CFH,Inferred (capitalize),Medium,To be validated
Nnat,NNAT,Inferred (capitalize),Medium,To be validated
Car4,CAR4,Inferred (capitalize),Medium,To be validated
